symbol_id,abb_zhname,name,registration,industry,tax_ID,found,listing,abb_enname,website,currency,par_value,description,type,enname
6248,沛波,沛波鋼鐵股份有限公司,,10.0,38432767,1984-05-16,2003-09-03,TMP,https://www.tmpco.com.tw,TWD,10.0,,,
6259,百徽,百徽股份有限公司,,28.0,84497335,1993-12-20,2003-09-17,BULLWILL,http://www.bullwill.com.tw,TWD,10.0,,,
6261,久元,久元電子股份有限公司,,24.0,86244737,1991-07-22,2004-03-29,YTEC,https://www.ytec.com.tw,TWD,10.0,,,
6263,普萊德,普萊德科技股份有限公司,,27.0,84117341,1993-01-05,2003-09-17,Planet,https://www.planet.com.tw,TWD,10.0,,,
6264,富裔,富裔實業股份有限公司,,14.0,97477509,1997-07-02,2004-02-24,KL,https://www.kingland.com.tw,TWD,10.0,,,
6265,方土昶,方土昶股份有限公司,,29.0,16436439,1998-01-22,2003-10-24,KCU,http://www.kc-uppertech.com/,TWD,10.0,,,
6266,泰詠,泰詠電子股份有限公司,,28.0,23576977,1990-02-15,2004-04-29,TOP UNION　　,http://www.topunion.com.tw,TWD,10.0,,,
6270,倍微,倍微科技股份有限公司,,29.0,86882278,1992-10-20,2003-09-17,PCT,http://www.pct.com.tw,TWD,10.0,,,
6274,台燿,台燿科技股份有限公司,,28.0,04226091,1974-05-22,2003-12-18,tuc,https://www.tuc.com.tw,TWD,10.0,,,
6275,元山,元山科技工業股份有限公司,,31.0,22264722,1987-03-10,2004-12-23,Y.S.TECH,https://www.ystech.com.tw,TWD,10.0,,,
6276,安鈦克,安鈦克科技股份有限公司,,25.0,34235759,1978-10-21,2003-10-30,Antec,http://www.antec.com,TWD,10.0,,,
6279,胡連,胡連精密股份有限公司,,28.0,20759430,1977-07-09,2003-11-26,HU LANE　,http://www.hulane.com,TWD,10.0,,,
6284,佳邦,佳邦科技股份有限公司,,28.0,16599215,1998-06-23,2004-06-29,INPAQ　　,https://www.inpaq.com.tw,TWD,10.0,,,
6287,元隆,元隆電子股份有限公司,,24.0,22099174,1987-06-08,2003-10-02,AMPI　　,http://www.ampi.com.tw,TWD,10.0,,,
6290,良維,良維科技股份有限公司,,28.0,11298247,1972-09-05,2005-06-03,LONGWELL　　,http://www.longwell.com,TWD,10.0,,,
6291,沛亨,沛亨半導體股份有限公司,,24.0,86541238,1992-01-20,2004-01-28,AIC,https://www.analog.com.tw,TWD,10.0,,,
6292,迅德,迅德興業股份有限公司,,28.0,22133530,1986-05-19,2003-11-26,　　AXIS,https://www.axis.com.tw,TWD,10.0,,,
6294,智基,智基科技開發股份有限公司,,32.0,97306837,1996-12-21,2004-01-13,Tekom,http://www.tekom.com.tw/,TWD,10.0,,,
6404,通訊-KY,中國通訊多媒體集團有限公司,KY 開曼群島                                                    ,30.0,53661269,2011-06-20,2014-07-23,CCMG,http://www.ccmg.mobi/,TWD,10.0,,,
6411,晶焱,晶焱科技股份有限公司,,24.0,28081989,2006-01-26,2014-03-11,Amazing,http://www.amazingic.com,TWD,10.0,,,
6417,韋僑,韋僑科技股份有限公司,,27.0,16877131,1999-03-23,2015-10-08,SAG,https://www.sag.com.tw,TWD,10.0,,,
6418,詠昇,詠昇電子股份有限公司,,28.0,22774892,1988-02-03,2019-02-18,Y-S ELEC.,http://www.yselec.com.tw,TWD,10.0,,,
6419,京晨科,京晨科技股份有限公司,,26.0,28212547,2006-08-17,2014-12-29,NUUO,http://www.nuuo.com,TWD,10.0,,,
6425,易發,易發精機股份有限公司,,5.0,22994919,1988-08-22,2019-01-18,EFC,https://www.efctw.com,TWD,10.0,,,
6426,統新,統新光訊股份有限公司,,27.0,13111161,2003-08-01,2014-12-17,APOGEE,http://www.nextapogee.com.tw,TWD,10.0,,,
6432,今展科,今展科技股份有限公司,,28.0,12688172,2001-02-20,2015-05-20,ARLITECH,https://www.arlitech.com.tw,TWD,10.0,,,
6435,大中,大中積體電路股份有限公司,,24.0,28112723,2008-08-14,2016-01-07,Sinopower,https://www.sinopowersemi.com,TWD,10.0,,,
6441,廣錠,廣錠科技股份有限公司,,25.0,53562649,2011-12-13,2017-09-27,IBG,https://www.ibasegaming.com,TWD,10.0,,,
6446,藥華藥,藥華醫藥股份有限公司,,22.0,70557655,2000-05-09,2016-07-19,PEC,http://www.PharmaEssentia.com,TWD,10.0,,,
6457,紘康,紘康科技股份有限公司,,24.0,28751690,2007-07-09,2015-06-12,HYCON,https://www.hycontek.com,TWD,10.0,,,
6461,益得,益得生物科技股份有限公司,,22.0,53104031,2010-10-28,2018-03-28,Intech,http://www.intechbiopharm.com,TWD,10.0,,,
6462,神盾,神盾股份有限公司,,24.0,28835517,2007-12-26,2015-12-23,EGIS,http://www.egistec.com,TWD,10.0,,,
6465,威潤,威潤科技股份有限公司,,27.0,24497254,2010-01-19,2015-11-20,ATrack,http://www.atrack.com.tw,TWD,10.0,,,
6469,大樹,大樹醫藥股份有限公司,,22.0,12803476,2001-05-15,2016-03-30,Great Tree,http://www.greattree.com.tw,TWD,10.0,,,
6470,宇智,宇智網通股份有限公司,,27.0,27375986,2004-06-15,2015-11-03,U-MEDIA,http://www.u-media.com.tw,TWD,10.0,,,
6472,保瑞,保瑞藥業股份有限公司,,22.0,28684877,2007-06-12,2017-04-19,Bora,https://www.bora-corp.com/tw/,TWD,10.0,,,
6482,弘煜科,弘煜科技事業股份有限公司,,32.0,25064206,2009-11-05,2016-06-13,FUN YOURS,https://www.fy.com.tw,TWD,10.0,,,
6485,點序,點序科技股份有限公司,,24.0,28927852,2008-02-13,2015-11-17,ASolid,https://www.asolid-tek.com,TWD,10.0,,,
6486,互動,互動國際數位股份有限公司,,27.0,80192260,2003-05-14,2016-09-13,IDT,http://www.idtech.com.tw/,TWD,10.0,,,
6488,環球晶,環球晶圓股份有限公司,,24.0,28113286,2011-10-18,2015-09-25,GWC,http://www.sas-globalwafers.com,TWD,10.0,,,
6492,生華科,生華生物科技股份有限公司,,22.0,54021973,2012-11-16,2017-04-24,SH,http://www.senhwabio.com/,TWD,10.0,,,
6494,九齊,九齊科技股份有限公司,,24.0,28509490,2006-10-30,2016-05-09,Nyquest,https://www.nyquest.com.tw,TWD,10.0,,,
6496,科懋,科懋生物科技股份有限公司,,22.0,23024594,1988-07-21,2016-01-07,Excelsior,http://www.excelsiorgroup.com.tw,TWD,10.0,,,
